"# PR data"
"# Start time: 20191119T220137"
"# Subject: diana"
"# Activity type: Shoulder press"
"# Correctness: Correct"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1574200897861","0","0.5283203","-0.8076172","-0.2939453","-2.46875","0.65625","-1.65625"
"1574200897863","1","0.52246094","-0.80371094","-0.29589844","-2.75","2.375","-1.84375"
"1574200897863","2","0.5263672","-0.8017578","-0.3017578","-2.75","3.28125","-1.125"
"1574200897864","3","0.53027344","-0.8046875","-0.30566406","-3.5","5.0","-0.8125"
"1574200897864","4","0.52734375","-0.8027344","-0.30273438","-4.28125","5.84375","-0.4375"
"1574200897864","5","0.5214844","-0.8105469","-0.30371094","-6.90625","4.875","-1.0"
"1574200897865","6","0.52734375","-0.81152344","-0.2998047","-6.125","3.84375","-1.125"
"1574200897865","7","0.5136719","-0.8046875","-0.29589844","-5.625","3.34375","-0.5"
"1574200897865","8","0.5205078","-0.8027344","-0.3076172","-6.0625","2.78125","-1.90625"
"1574200897865","9","0.5341797","-0.80566406","-0.30566406","-4.59375","6.40625","0.0"
"1574200898059","10","0.5253906","-0.8017578","-0.30273438","-4.28125","2.65625","-1.40625"
"1574200898059","11","0.5253906","-0.7998047","-0.3095703","-6.0","3.28125","-0.5625"
"1574200898060","12","0.53515625","-0.7998047","-0.3076172","-3.5","4.625","-0.5"
"1574200898061","13","0.53125","-0.7949219","-0.3046875","-0.125","6.03125","0.84375"
"1574200898061","14","0.5371094","-0.796875","-0.30664062","0.21875","5.59375","0.46875"
"1574200898061","15","0.53125","-0.79785156","-0.30664062","2.125","5.21875","0.03125"
"1574200898062","16","0.53027344","-0.7939453","-0.30078125","2.4375","4.0","-0.375"
"1574200898062","17","0.5371094","-0.7998047","-0.29882812","3.21875","2.1875","-0.1875"
"1574200898062","18","0.53515625","-0.8046875","-0.29785156","3.59375","0.03125","-0.1875"
"1574200898063","19","0.53125","-0.8066406","-0.2939453","3.15625","-1.0625","-0.4375"
"1574200898460","20","0.5332031","-0.8066406","-0.296875","3.9375","-1.65625","-0.3125"
"1574200898461","21","0.52734375","-0.8066406","-0.29492188","1.9375","-1.40625","-0.4375"
"1574200898461","22","0.52246094","-0.8076172","-0.28710938","3.21875","0.15625","-0.5625"
"1574200898461","23","0.5283203","-0.7998047","-0.296875","2.0","-0.875","-0.8125"
"1574200898462","24","0.52246094","-0.8105469","-0.29589844","3.34375","1.75","1.03125"
"1574200898463","25","0.5214844","-0.81152344","-0.2783203","1.3125","0.65625","0.28125"
"1574200898464","26","0.5263672","-0.80859375","-0.28808594","1.15625","2.0625","0.53125"
"1574200898464","27","0.5126953","-0.8105469","-0.28027344","0.03125","2.4375","0.0"
"1574200898464","28","0.5253906","-0.8076172","-0.29101562","-0.375","1.625","-0.875"
"1574200898465","29","0.5283203","-0.81347656","-0.28710938","-0.3125","2.96875","-0.4375"
"1574200898658","30","0.515625","-0.81347656","-0.27734375","-1.125","2.375","-0.6875"
"1574200898658","31","0.52734375","-0.81640625","-0.28710938","-2.09375","2.65625","-0.5"
"1574200898658","32","0.52246094","-0.81347656","-0.29003906","-2.21875","2.59375","-0.75"
"1574200898658","33","0.5214844","-0.8154297","-0.28515625","-2.9375","2.59375","-0.3125"
"1574200898659","34","0.5234375","-0.81152344","-0.28808594","-2.875","1.3125","0.09375"
"1574200898659","35","0.52441406","-0.80859375","-0.29003906","-3.875","1.625","-0.375"
"1574200898659","36","0.51464844","-0.8173828","-0.2939453","-6.1875","2.125","-0.5625"
"1574200898661","37","0.5136719","-0.8203125","-0.296875","-5.03125","2.4375","-1.90625"
"1574200898661","38","0.52246094","-0.8095703","-0.3017578","-3.625","3.53125","-1.25"
"1574200898661","39","0.51953125","-0.8105469","-0.29296875","-1.90625","2.59375","-1.46875"
"1574200899057","40","0.5205078","-0.81152344","-0.29492188","-4.09375","2.0625","-2.21875"
"1574200899057","41","0.52246094","-0.8125","-0.3017578","-3.5","2.4375","-2.6875"
"1574200899057","42","0.5234375","-0.80566406","-0.29589844","-1.59375","2.78125","-2.03125"
"1574200899058","43","0.53515625","-0.8017578","-0.2998047","-1.34375","1.375","-3.0625"
"1574200899058","44","0.5253906","-0.8076172","-0.30078125","-1.53125","0.90625","-2.28125"
"1574200899058","45","0.52246094","-0.8076172","-0.296875","-2.40625","0.59375","-2.46875"
"1574200899058","46","0.5283203","-0.80859375","-0.3017578","-1.0625","-0.5","-2.34375"
"1574200899059","47","0.5283203","-0.8027344","-0.30273438","-0.8125","-0.625","-2.59375"
"1574200899059","48","0.52441406","-0.8066406","-0.3017578","-0.8125","-0.5","-2.09375"
"1574200899060","49","0.5185547","-0.8076172","-0.30273438","-0.125","0.0","-1.96875"
"1574200899852","50","0.5263672","-0.8125","-0.29882812","-0.125","0.34375","-0.625"
"1574200899852","51","0.515625","-0.8027344","-0.30664062","1.4375","0.96875","-1.1875"
"1574200899852","52","0.5292969","-0.7998047","-0.29882812","1.5","0.53125","-0.6875"
"1574200899853","53","0.5253906","-0.8027344","-0.29785156","1.875","1.5625","0.15625"
"1574200899853","54","0.52246094","-0.8125","-0.29003906","1.5","-0.25","-1.71875"
"1574200899853","55","0.5234375","-0.8095703","-0.29492188","0.96875","1.5625","-0.625"
"1574200899854","56","0.5263672","-0.81347656","-0.29101562","0.90625","1.09375","-0.9375"
"1574200899854","57","0.51171875","-0.80078125","-0.29589844","1.375","1.21875","-0.75"
"1574200899854","58","0.53027344","-0.8125","-0.30078125","1.6875","1.5625","0.03125"
"1574200899854","59","0.515625","-0.8144531","-0.28125","2.3125","2.5","0.0"
"1574200900050","60","0.5234375","-0.81933594","-0.29589844","2.0625","3.03125","-0.25"
"1574200900052","61","0.5263672","-0.8144531","-0.28222656","0.90625","2.96875","0.0"
"1574200900052","62","0.52246094","-0.81933594","-0.28320312","-0.5625","2.1875","0.15625"
"1574200900053","63","0.53808594","-0.8017578","-0.2861328","0.65625","0.84375","-0.5625"
"1574200900053","64","0.5214844","-0.80859375","-0.2841797","-0.3125","-1.46875","-1.96875"
"1574200900053","65","0.52441406","-0.80859375","-0.2939453","0.28125","-3.375","-2.625"
"1574200900054","66","0.5292969","-0.8232422","-0.28710938","1.03125","-3.625","-4.15625"
"1574200900054","67","0.51953125","-0.8173828","-0.2890625","0.15625","1.15625","-2.75"
"1574200900054","68","0.51464844","-0.81152344","-0.29882812","1.3125","-0.1875","-3.0625"
"1574200900054","69","0.51953125","-0.80566406","-0.30273438","-1.96875","4.9375","-1.78125"
"1574200900248","70","0.5126953","-0.80566406","-0.29882812","-0.75","4.625","-0.8125"
"1574200900248","71","0.53808594","-0.8251953","-0.2890625","-4.09375","3.9375","-0.1875"
"1574200900248","72","0.5214844","-0.7988281","-0.2919922","0.78125","4.375","1.3125"
"1574200900249","73","0.51464844","-0.8105469","-0.2841797","-1.71875","7.75","0.71875"
"1574200900250","74","0.51660156","-0.8066406","-0.28710938","-1.46875","8.28125","0.15625"
"1574200900252","75","0.5263672","-0.8027344","-0.2919922","-3.125","10.96875","2.1875"
"1574200900253","76","0.54003906","-0.8095703","-0.28027344","-2.9375","8.09375","2.65625"
"1574200900253","77","0.52246094","-0.8144531","-0.2685547","-2.875","6.5","3.21875"
"1574200900253","78","0.53515625","-0.8144531","-0.2763672","-4.28125","3.65625","3.53125"
"1574200900254","79","0.53808594","-0.80859375","-0.28808594","-3.75","-4.28125","1.75"
"1574200900647","80","0.51953125","-0.7832031","-0.31640625","8.53125","-3.5625","1.8125"
"1574200900647","81","0.5390625","-0.80566406","-0.30371094","2.65625","-1.40625","2.25"
"1574200900648","82","0.48046875","-0.8378906","-0.2734375","1.3125","5.0625","1.625"
"1574200900648","83","0.4638672","-0.8466797","-0.27539062","-3.6875","8.40625","-4.21875"
"1574200900648","84","0.5361328","-0.8330078","-0.27441406","-2.40625","6.875","-2.53125"
"1574200900650","85","0.5332031","-0.8066406","-0.2705078","-3.5625","3.71875","0.71875"
"1574200900650","86","0.5078125","-0.8222656","-0.2841797","-5.15625","5.1875","-0.125"
"1574200900651","87","0.52246094","-0.81640625","-0.265625","0.40625","2.1875","-0.875"
"1574200900651","88","0.5097656","-0.8154297","-0.2685547","-4.15625","1.3125","-0.625"
"1574200900651","89","0.5136719","-0.82421875","-0.29003906","-2.46875","1.8125","-1.0625"
"1574200901044","90","0.5097656","-0.82128906","-0.2763672","-1.125","0.21875","-0.9375"
"1574200901045","91","0.5107422","-0.8144531","-0.27539062","-1.3125","2.59375","0.03125"
"1574200901045","92","0.5234375","-0.8173828","-0.28710938","-2.15625","2.25","0.40625"
"1574200901045","93","0.515625","-0.8144531","-0.2734375","-1.0","1.625","-0.3125"
"1574200901045","94","0.5058594","-0.8203125","-0.28222656","-0.1875","0.59375","-1.125"
"1574200901046","95","0.5185547","-0.8144531","-0.28515625","-1.125","-0.9375","-1.71875"
"1574200901046","96","0.50390625","-0.82421875","-0.28125","1.5","1.8125","0.34375"
"1574200901047","97","0.5107422","-0.8183594","-0.28027344","0.65625","-2.46875","-2.8125"
"1574200901047","98","0.5136719","-0.82714844","-0.27929688","0.21875","0.90625","-1.0"
"1574200901048","99","0.5048828","-0.81933594","-0.28710938","0.40625","0.15625","-2.34375"
"1574200901441","100","0.51464844","-0.8125","-0.2890625","0.90625","1.5","-1.0"
"1574200901442","101","0.5126953","-0.8144531","-0.28222656","0.46875","2.375","-1.3125"
"1574200901442","102","0.52441406","-0.82128906","-0.2919922","-0.0625","3.28125","-0.4375"
"1574200901442","103","0.51171875","-0.81640625","-0.26464844","1.625","1.625","-1.125"
"1574200901442","104","0.5019531","-0.8222656","-0.27148438","0.28125","1.5625","-2.40625"
"1574200901443","105","0.5234375","-0.82910156","-0.27441406","0.34375","2.1875","-2.875"
"1574200901443","106","0.4951172","-0.8310547","-0.24804688","-4.15625","1.03125","-4.40625"
"1574200901443","107","0.5361328","-0.82910156","-0.26953125","-2.46875","0.15625","-5.375"
"1574200901443","108","0.52246094","-0.8125","-0.28027344","-2.53125","-1.125","-3.875"
"1574200901445","109","0.5292969","-0.81640625","-0.29296875","-1.34375","0.09375","-2.40625"
"1574200901839","110","0.53222656","-0.7919922","-0.28808594","5.34375","-2.625","-0.875"
"1574200901842","111","0.5048828","-0.82128906","-0.2626953","0.21875","-3.3125","-3.5625"
"1574200901842","112","0.52734375","-0.83496094","-0.26367188","-0.6875","-8.8125","-8.0"
"1574200901843","113","0.50683594","-0.8310547","-0.25585938","-4.40625","-7.71875","-6.3125"
"1574200901843","114","0.50683594","-0.8388672","-0.2783203","-6.125","-4.53125","-6.375"
"1574200901848","115","0.5185547","-0.7939453","-0.28320312","-0.9375","-2.9375","-6.90625"
"1574200901848","116","0.5058594","-0.80859375","-0.29296875","-6.125","-4.59375","-5.8125"
"1574200901848","117","0.5576172","-0.78515625","-0.33007812","-4.09375","-8.5625","-3.1875"
"1574200901848","118","0.546875","-0.7841797","-0.328125","-4.84375","-5.5","2.0625"
"1574200901849","119","0.50878906","-0.76953125","-0.34472656","-0.625","-10.03125","-0.25"
"1574200902236","120","0.5566406","-0.7705078","-0.33984375","-3.4375","-7.65625","0.53125"
"1574200902237","121","0.5283203","-0.76953125","-0.3720703","5.1875","-3.5","3.53125"
"1574200902237","122","0.5283203","-0.7832031","-0.36914062","-0.75","-1.90625","3.65625"
"1574200902238","123","0.5214844","-0.7910156","-0.34277344","-0.125","0.34375","-0.3125"
"1574200902238","124","0.52441406","-0.8144531","-0.2890625","-5.15625","-0.0625","0.40625"
"1574200902238","125","0.50878906","-0.82910156","-0.32617188","-8.4375","-6.125","-6.0625"
"1574200902238","126","0.49902344","-0.7871094","-0.34960938","-9.53125","-3.0625","-3.3125"
"1574200902239","127","0.5205078","-0.7890625","-0.3671875","-7.9375","-5.25","-3.0625"
"1574200902239","128","0.5","-0.81347656","-0.34179688","-10.21875","-3.4375","-4.40625"
"1574200902239","129","0.5126953","-0.8076172","-0.34277344","-6.125","-2.875","-4.21875"
"1574200902634","130","0.49804688","-0.79589844","-0.3564453","-5.4375","-1.53125","-4.59375"
"1574200902635","131","0.5185547","-0.81152344","-0.34570312","-5.03125","-1.53125","-2.40625"
"1574200902635","132","0.49316406","-0.7998047","-0.3623047","-5.21875","-0.6875","-2.625"
"1574200902636","133","0.5019531","-0.7939453","-0.35058594","-3.125","-2.09375","-2.21875"
"1574200902637","134","0.5019531","-0.78027344","-0.38085938","-2.59375","2.25","-1.78125"
"1574200902637","135","0.5126953","-0.78027344","-0.3779297","0.0","3.71875","-0.125"
"1574200902637","136","0.515625","-0.7939453","-0.37597656","2.0","4.6875","0.65625"
"1574200902638","137","0.5048828","-0.7832031","-0.36523438","1.5","3.90625","1.21875"
"1574200902638","138","0.5214844","-0.7949219","-0.35546875","5.34375","7.625","1.75"
"1574200902638","139","0.5078125","-0.78808594","-0.3564453","0.46875","-1.125","-1.40625"
"1574200903229","140","0.53125","-0.78808594","-0.3720703","2.125","1.625","-0.4375"
"1574200903229","141","0.515625","-0.79589844","-0.35253906","0.15625","0.0","-1.96875"
"1574200903230","142","0.5136719","-0.7861328","-0.35742188","0.84375","-1.125","-1.25"
"1574200903230","143","0.5205078","-0.79296875","-0.36621094","0.09375","1.3125","-3.125"
"1574200903230","144","0.4970703","-0.7910156","-0.3544922","1.15625","1.5","-1.78125"
"1574200903230","145","0.50683594","-0.78808594","-0.35546875","-2.53125","1.9375","-3.125"
"1574200903231","146","0.52246094","-0.79003906","-0.37304688","-1.0625","3.15625","-1.84375"
"1574200903231","147","0.5263672","-0.796875","-0.35839844","-0.1875","4.1875","0.09375"
"1574200903231","148","0.49804688","-0.7734375","-0.3828125","-2.46875","3.65625","-3.6875"
"1574200903231","149","0.56933594","-0.78222656","-0.38378906","3.46875","8.03125","2.4375"
"1574200903824","150","0.4951172","-0.7705078","-0.375","-2.6875","3.9375","-2.6875"
"1574200903824","151","0.5644531","-0.77246094","-0.390625","0.21875","6.8125","-0.1875"
"1574200903824","152","0.5019531","-0.7685547","-0.3642578","-1.96875","9.4375","-0.75"
"1574200903825","153","0.5595703","-0.8095703","-0.36035156","-0.0625","3.40625","-3.0"
"1574200903825","154","0.50097656","-0.7324219","-0.40429688","-2.21875","6.09375","-1.53125"
"1574200903825","155","0.54003906","-0.78808594","-0.34570312","0.90625","10.71875","-1.25"
"1574200903825","156","0.5107422","-0.75","-0.3935547","-3.6875","8.21875","-1.53125"
"1574200903826","157","0.54003906","-0.8095703","-0.3466797","5.40625","11.28125","1.75"
"1574200903826","158","0.54785156","-0.78222656","-0.328125","-2.6875","8.09375","2.4375"
"1574200903827","159","0.46875","-0.80859375","-0.32910156","10.1875","15.0","-2.875"
"1574200904024","160","0.57128906","-0.8144531","-0.28320312","-7.8125","14.21875","3.53125"
"1574200904024","161","0.54296875","-0.82421875","-0.27929688","4.5625","13.59375","4.5625"
"1574200904025","162","0.5214844","-0.82714844","-0.2529297","-1.59375","7.75","0.28125"
"1574200904025","163","0.50390625","-0.8330078","-0.29003906","-0.0625","-3.6875","-1.3125"
"1574200904025","164","0.53808594","-0.8408203","-0.28222656","3.84375","-7.15625","-0.5"
"1574200904025","165","0.5419922","-0.7949219","-0.2734375","1.5625","-8.125","1.4375"
"1574200904025","166","0.47460938","-0.78125","-0.3173828","7.3125","-1.53125","3.21875"
"1574200904026","167","0.4921875","-0.8066406","-0.3095703","7.96875","-4.78125","-1.59375"
"1574200904026","168","0.51660156","-0.8388672","-0.30566406","6.46875","2.65625","1.15625"
"1574200904026","169","0.51953125","-0.8027344","-0.3095703","3.53125","3.90625","-0.25"
"1574200904223","170","0.5048828","-0.80566406","-0.30566406","1.5625","4.0625","1.6875"
"1574200904223","171","0.53222656","-0.8095703","-0.31835938","-1.25","3.9375","1.03125"
"1574200904223","172","0.5253906","-0.8046875","-0.3046875","-1.0625","1.5625","-0.25"
"1574200904223","173","0.5058594","-0.8173828","-0.30859375","-3.8125","1.625","0.40625"
"1574200904224","174","0.52441406","-0.8144531","-0.3076172","-2.21875","0.65625","-1.84375"
"1574200904224","175","0.5205078","-0.8027344","-0.29101562","-6.90625","1.28125","-1.25"
"1574200904224","176","0.515625","-0.80078125","-0.31152344","-6.84375","1.03125","-1.53125"
"1574200904224","177","0.51660156","-0.8154297","-0.3232422","-7.65625","3.15625","-1.34375"
"1574200904225","178","0.5126953","-0.7919922","-0.32128906","-9.71875","7.4375","-0.75"
"1574200904225","179","0.51953125","-0.80078125","-0.32910156","-7.03125","4.375","-0.5"
"1574200904622","180","0.5205078","-0.80566406","-0.328125","-5.21875","7.5625","0.65625"
"1574200904623","181","0.51171875","-0.8076172","-0.32226562","-6.53125","3.71875","-1.125"
"1574200904624","182","0.5185547","-0.8046875","-0.33007812","-5.21875","6.5","0.09375"
"1574200904625","183","0.53125","-0.8027344","-0.3203125","-4.28125","3.03125","-1.59375"
"1574200904625","184","0.50878906","-0.80859375","-0.3251953","-4.84375","6.625","0.28125"
"1574200904625","185","0.5175781","-0.79296875","-0.32714844","-3.0","4.6875","-0.5"
"1574200904626","186","0.5234375","-0.80859375","-0.31347656","1.5625","2.4375","1.375"
"1574200904626","187","0.49414062","-0.82714844","-0.3095703","4.3125","2.90625","1.4375"
"1574200904627","188","0.50878906","-0.8154297","-0.31835938","4.0625","4.125","2.125"
"1574200904627","189","0.5234375","-0.80859375","-0.31445312","4.5625","1.375","3.21875"
"1574200905019","190","0.50878906","-0.82714844","-0.30664062","4.6875","1.03125","-0.375"
"1574200905020","191","0.5390625","-0.796875","-0.32421875","1.03125","5.21875","0.71875"
"1574200905020","192","0.50097656","-0.796875","-0.32128906","8.34375","2.0","0.21875"
"1574200905022","193","0.53222656","-0.7841797","-0.32421875","2.375","1.5","-1.46875"
"1574200905022","194","0.54296875","-0.7626953","-0.36523438","2.5","2.96875","-0.75"
"1574200905023","195","0.5136719","-0.79785156","-0.32617188","2.3125","6.28125","-0.6875"
"1574200905023","196","0.5136719","-0.7988281","-0.33007812","3.34375","6.5625","-2.09375"
"1574200905023","197","0.5107422","-0.82910156","-0.2548828","1.875","5.40625","-2.46875"
"1574200905023","198","0.515625","-0.8359375","-0.2890625","-7.09375","3.9375","-2.6875"
"1574200905024","199","0.5205078","-0.8261719","-0.2783203","-7.71875","0.65625","-3.75"
"1574200905415","200","0.5263672","-0.796875","-0.3046875","-1.96875","-4.15625","-3.5"
"1574200905415","201","0.50878906","-0.8125","-0.3017578","-3.0","-4.53125","-5.5625"
"1574200905416","202","0.50390625","-0.828125","-0.28515625","-1.34375","-3.1875","-6.0625"
"1574200905416","203","0.5058594","-0.81933594","-0.28125","-2.40625","-1.40625","-7.71875"
"1574200905416","204","0.5","-0.8183594","-0.3076172","-2.28125","-5.25","-9.0625"
"1574200905417","205","0.5517578","-0.81152344","-0.29492188","-3.90625","-3.5","-7.8125"
"1574200905418","206","0.53515625","-0.7939453","-0.296875","-4.09375","-4.84375","-3.1875"
"1574200905418","207","0.5175781","-0.82421875","-0.30273438","-1.71875","-11.6875","-6.125"
"1574200905418","208","0.5361328","-0.81152344","-0.3310547","-3.0625","-4.09375","-5.375"
"1574200905418","209","0.5341797","-0.7871094","-0.35351562","-5.25","-2.75","-4.59375"
"1574200906010","210","0.54003906","-0.79296875","-0.35253906","-4.90625","-2.15625","-4.46875"
"1574200906010","211","0.55078125","-0.77246094","-0.35351562","-4.34375","0.15625","2.0"
"1574200906011","212","0.5019531","-0.7597656","-0.36621094","-2.59375","-0.375","2.0625"
"1574200906011","213","0.5654297","-0.7607422","-0.37402344","2.4375","3.21875","6.46875"
"1574200906011","214","0.5527344","-0.78027344","-0.35253906","2.4375","4.1875","7.375"
"1574200906011","215","0.48535156","-0.7919922","-0.34179688","5.40625","3.09375","7.125"
"1574200906012","216","0.5332031","-0.80078125","-0.3251953","-3.4375","0.71875","3.59375"
"1574200906013","217","0.54785156","-0.8046875","-0.31640625","-0.75","-3.0","0.21875"
"1574200906014","218","0.4580078","-0.7832031","-0.3232422","-2.21875","-3.625","0.21875"
"1574200906014","219","0.4560547","-0.8076172","-0.37695312","7.96875","-3.25","-10.15625"
"1574200906212","220","0.56640625","-0.8203125","-0.31835938","9.3125","-2.625","-1.65625"
"1574200906212","221","0.5810547","-0.7832031","-0.27441406","-3.5","0.0","5.78125"
"1574200906212","222","0.47851562","-0.81347656","-0.3359375","0.40625","-4.03125","3.09375"
"1574200906213","223","0.4580078","-0.8310547","-0.33691406","2.25","0.15625","0.0"
"1574200906213","224","0.5292969","-0.80566406","-0.31152344","0.65625","-6.65625","-3.8125"
"1574200906213","225","0.5185547","-0.8017578","-0.28027344","0.46875","-4.71875","-3.375"
"1574200906213","226","0.49414062","-0.8154297","-0.33496094","2.375","0.28125","-1.1875"
"1574200906214","227","0.4794922","-0.82714844","-0.30859375","-0.5625","-1.84375","-3.0625"
"1574200906214","228","0.5205078","-0.7939453","-0.32128906","-2.21875","0.03125","-1.84375"
"1574200906227","229","0.5","-0.82421875","-0.328125","-2.09375","0.46875","-1.125"
"1574200906609","230","0.5078125","-0.8046875","-0.34570312","2.5625","1.75","-1.0625"
"1574200906610","231","0.5097656","-0.7998047","-0.33789062","-1.46875","3.28125","-0.3125"
"1574200906610","232","0.50878906","-0.8222656","-0.3154297","-3.0","2.96875","-0.375"
"1574200906610","233","0.4921875","-0.8125","-0.32910156","-4.90625","2.375","-2.40625"
"1574200906610","234","0.50683594","-0.796875","-0.35058594","-6.53125","4.0625","-3.75"
"1574200906611","235","0.50683594","-0.7949219","-0.34179688","-8.4375","1.5","-5.5625"
"1574200906611","236","0.5185547","-0.78222656","-0.359375","-3.0","4.8125","-3.75"
"1574200906611","237","0.5214844","-0.796875","-0.3408203","-6.84375","5.34375","-3.5625"
"1574200906611","238","0.5126953","-0.7988281","-0.35253906","-2.46875","4.875","-2.59375"
"1574200906611","239","0.5263672","-0.7783203","-0.3642578","-0.3125","5.96875","-1.3125"
"1574200907205","240","0.5292969","-0.7939453","-0.34960938","-7.53125","1.28125","-6.5"
"1574200907206","241","0.53808594","-0.7890625","-0.3408203","0.65625","8.15625","-0.5625"
"1574200907206","242","0.50390625","-0.78515625","-0.3564453","0.71875","-0.75","-5.8125"
"1574200907206","243","0.546875","-0.77734375","-0.36621094","-0.9375","5.28125","0.21875"
"1574200907207","244","0.49414062","-0.7949219","-0.34472656","3.78125","7.375","-1.84375"
"1574200907207","245","0.5605469","-0.7841797","-0.36621094","0.46875","6.21875","2.25"
"1574200907207","246","0.49902344","-0.78027344","-0.3388672","0.53125","9.375","0.09375"
"1574200907208","247","0.5644531","-0.79589844","-0.34179688","3.34375","5.78125","3.21875"
"1574200907208","248","0.49609375","-0.78515625","-0.33398438","-1.71875","4.6875","-0.125"
"1574200907208","249","0.5488281","-0.7949219","-0.34375","6.15625","2.0625","1.5625"
"1574200907403","250","0.51953125","-0.79296875","-0.3125","-2.8125","4.625","1.875"
"1574200907403","251","0.5126953","-0.78027344","-0.3544922","4.6875","0.65625","0.15625"
"1574200907403","252","0.53808594","-0.83984375","-0.28320312","0.65625","3.03125","-0.75"
"1574200907404","253","0.5048828","-0.7841797","-0.35839844","-6.5","1.75","0.78125"
"1574200907405","254","0.5019531","-0.8095703","-0.33398438","-4.21875","0.28125","-1.1875"
"1574200907405","255","0.5527344","-0.80566406","-0.2861328","-2.21875","4.5","2.84375"
"1574200907405","256","0.5214844","-0.7949219","-0.3232422","-0.4375","-2.625","2.3125"
"1574200907405","257","0.47851562","-0.8359375","-0.29492188","-5.25","-2.6875","-1.125"
"1574200907406","258","0.4951172","-0.8388672","-0.31445312","-1.96875","0.0","-3.75"
"1574200907406","259","0.4892578","-0.81933594","-0.31054688","-2.09375","4.0625","-3.1875"
"1574200908000","260","0.50390625","-0.81347656","-0.31347656","-5.875","5.0625","1.03125"
"1574200908001","261","0.50097656","-0.82910156","-0.3203125","-8.875","7.75","1.5"
"1574200908001","262","0.5234375","-0.7939453","-0.3359375","-7.34375","2.59375","2.78125"
"1574200908001","263","0.5292969","-0.79589844","-0.36132812","-5.4375","4.625","6.03125"
"1574200908002","264","0.51171875","-0.7841797","-0.34570312","-5.15625","10.53125","2.96875"
"1574200908003","265","0.5175781","-0.77734375","-0.3466797","-5.15625","7.1875","1.6875"
"1574200908004","266","0.51953125","-0.81640625","-0.34765625","-4.40625","6.875","1.15625"
"1574200908004","267","0.5","-0.7949219","-0.36035156","-0.125","10.96875","1.4375"
"1574200908004","268","0.515625","-0.8017578","-0.32226562","-2.875","5.1875","-0.375"
"1574200908004","269","0.5205078","-0.79785156","-0.34960938","1.4375","8.71875","2.1875"
"1574200908199","270","0.51464844","-0.81347656","-0.33691406","-0.1875","5.59375","0.90625"
"1574200908199","271","0.5263672","-0.7939453","-0.3232422","-0.25","3.84375","0.21875"
"1574200908200","272","0.51464844","-0.79589844","-0.33691406","-1.90625","1.75","0.0"
"1574200908200","273","0.5107422","-0.7998047","-0.32421875","0.53125","3.09375","-0.1875"
"1574200908200","274","0.51953125","-0.80566406","-0.3310547","0.65625","0.90625","-1.65625"
"1574200908201","275","0.51660156","-0.8095703","-0.328125","3.03125","3.34375","-0.8125"
"1574200908201","276","0.4892578","-0.82421875","-0.3203125","5.21875","3.90625","-1.90625"
"1574200908201","277","0.49804688","-0.8232422","-0.3076172","2.84375","2.96875","-3.8125"
"1574200908202","278","0.50878906","-0.83691406","-0.3076172","4.125","3.53125","-4.03125"
"1574200908202","279","0.4921875","-0.83984375","-0.2890625","0.71875","0.15625","-4.28125"
"1574200908597","280","0.5185547","-0.8105469","-0.31054688","0.65625","0.65625","-4.15625"
"1574200908597","281","0.5097656","-0.8144531","-0.3154297","-2.40625","2.25","-2.53125"
"1574200908597","282","0.54003906","-0.7910156","-0.32421875","-3.5","1.6875","-2.6875"
"1574200908598","283","0.52441406","-0.7685547","-0.35742188","-0.75","-0.375","-3.1875"
"1574200908598","284","0.5234375","-0.77441406","-0.34277344","3.21875","0.71875","-1.0"
"1574200908598","285","0.5283203","-0.78515625","-0.35351562","3.46875","-0.3125","-4.53125"
"1574200908598","286","0.5419922","-0.7871094","-0.3359375","1.8125","5.90625","-3.5"
"1574200908598","287","0.5283203","-0.79296875","-0.32617188","1.3125","-1.34375","-3.125"
"1574200908599","288","0.5253906","-0.79589844","-0.3076172","1.625","2.375","-3.5"
"1574200908600","289","0.5390625","-0.82128906","-0.2939453","-2.75","-2.34375","-5.75"
"1574200908994","290","0.5332031","-0.81152344","-0.31347656","-5.25","-4.28125","-7.09375"
"1574200908995","291","0.53027344","-0.7832031","-0.32617188","-3.3125","-2.9375","-6.0"
"1574200908995","292","0.5390625","-0.79785156","-0.32617188","-6.4375","-4.28125","-3.5625"
"1574200908995","293","0.5292969","-0.78515625","-0.32128906","-2.6875","-5.5","-3.375"
"1574200908995","294","0.53515625","-0.7949219","-0.33007812","-4.59375","-4.15625","-1.71875"
"1574200908996","295","0.53027344","-0.7871094","-0.34765625","-0.9375","-6.0625","-5.25"
"1574200908996","296","0.5390625","-0.7832031","-0.3388672","-2.40625","-2.09375","-2.875"
"1574200908996","297","0.5292969","-0.7636719","-0.359375","-0.4375","-4.03125","-3.625"
"1574200908997","298","0.5566406","-0.79785156","-0.3486328","-3.5625","-3.875","-0.8125"
"1574200908997","299","0.5214844","-0.8027344","-0.3828125","-0.25","4.0625","2.65625"
"1574200909392","300","0.546875","-0.7861328","-0.33789062","-1.40625","0.90625","2.1875"
"1574200909393","301","0.5214844","-0.7890625","-0.3408203","-1.71875","4.3125","4.3125"
"1574200909393","302","0.5205078","-0.8066406","-0.32714844","-4.71875","1.6875","2.0"
"1574200909393","303","0.5253906","-0.79589844","-0.328125","-6.71875","0.78125","3.65625"
